CT1,CT2,CT3,CT_Avg,total_current,therm_temp,vibration
5.068123817,6.531571865,5.425864697,5.675186634,17.02556038,30.48266792,1808.0
5.01225853,5.97659874,5.292096138,5.42698431,16.28095245,30.50730515,1616.0
5.120170593,6.699872017,5.193655491,5.6712327,17.01369858,30.60121346,1983.0
4.617388725,6.071209431,5.407993793,5.365530491,16.09659195,30.61167717,1808.0
5.202831268,6.205469131,5.818058014,5.742119312,17.22635841,30.70198441,1813.0
5.060997009,6.147280693,5.726707935,5.644995213,16.93498611,30.75590324,1744.0
3.697194815,4.788571358,4.383669853,4.289812088,12.86943626,30.83561897,2083.0
5.240828514,6.220008373,5.73704958,5.732628345,17.19788551,30.95677948,1995.0
5.005730152,6.367233753,5.772353649,5.715105534,17.14531708,31.0593071,1872.0
4.180799484,4.851848125,4.002388954,4.345012188,13.03503704,31.13626289,1879.0
4.037290573,4.801345348,4.277338982,4.371991634,13.11597538,31.29239082,1863.0
5.294498444,6.384442806,5.4728508,5.717264175,17.15179253,31.38711548,1894.0
5.270203114,6.347514629,5.518865585,5.712194443,17.13658333,31.49269676,1931.0
3.740258455,4.60645628,4.254108429,4.200274467,12.6008234,31.62885284,1801.0
3.823536396,4.819237709,4.149337292,4.264037609,12.79211235,31.78343773,1986.0
4.407805443,5.435409069,4.89304018,4.912084579,14.73625374,32.68771744,1817.0
4.567602634,5.845552444,5.048408031,5.15385437,15.46156311,32.76473236,1673.0
3.794635534,4.745175838,4.260655403,4.266822338,12.80046654,32.87075424,1793.0
4.553256512,5.526605129,4.892724037,4.990861893,14.97258568,33.00730515,2058.0
4.361324787,5.553394318,4.895153046,4.93662405,14.80987167,33.16695404,1900.0
3.743684292,4.631917477,4.140814304,4.172138691,12.51641655,33.23206711,1834.0
3.695389748,4.71335268,4.169430733,4.192724705,12.57817364,33.38998413,1779.0
4.559800625,5.48362112,4.656785488,4.90006876,14.70020676,33.52066422,1764.0
4.420954704,5.765947342,5.016775131,5.067892551,15.20367718,33.78743362,1745.0
4.228527546,5.014875889,4.320771217,4.521391392,13.56417465,33.79985809,1893.0
3.785815239,4.54211092,3.967095852,4.098340988,12.29502296,33.9032135,1872.0
3.434640646,4.497802258,3.910800695,3.947747946,11.8432436,35.13391495,1791.0
4.353380203,5.548861027,4.612034321,4.838091373,14.5142746,35.12955856,1651.0
4.41505146,5.712926388,4.722408772,4.950128555,14.85038567,35.08283234,1899.0
3.88420701,4.502098083,3.867686033,4.084663868,12.25399113,35.09991455,1905.0
4.621653557,5.470578671,4.616825581,4.903018951,14.70905685,35.18571854,1823.0
4.744093418,5.25637579,4.837406158,4.945958614,14.83787537,35.1775322,1868.0
4.273824692,5.218354702,4.77615118,4.756110668,14.26833153,35.18002319,1916.0
3.632790089,4.551328659,4.177378178,4.120498657,12.36149597,35.30193329,1980.0
4.515557766,5.745222092,4.710531712,4.990437031,14.97131157,35.39962769,1824.0
4.626478672,5.467716217,4.819701672,4.971298695,14.91389656,35.36592102,1698.0
3.716190338,4.670716763,4.334783554,4.240563869,12.72169113,35.50298691,1840.0
3.725994825,4.418472767,3.90184617,4.015437603,12.04631329,35.50022125,1898.0
4.661655426,5.461327076,4.698310852,4.940431118,14.82129288,35.56165314,1926.0
4.59999752,5.407352924,4.789684772,4.932344913,14.79703522,35.61507034,1856.0
3.452287436,4.58269453,4.284757614,4.106579781,12.31973934,35.70539093,1952.0
3.449282169,4.529893875,4.223150253,4.06744194,12.20232582,35.82300949,1825.0
4.263631344,5.414945602,4.878436565,4.852338314,14.55701447,35.90298843,1857.0
3.817160368,4.851419926,4.092660904,4.253746986,12.76124096,36.00409317,1769.0
5.104251862,6.315235615,5.404422283,5.607969761,16.82390976,36.07947159,1711.0
5.045106411,6.325804234,5.647963524,5.672958374,17.01887512,36.15822983,1967.0
3.718281507,4.593205452,3.911803246,4.074429989,12.22329044,36.24570084,1808.0
5.220187664,6.110482216,5.106508255,5.479059219,16.43717766,36.35809326,1648.0
5.183984756,6.286197662,5.76441288,5.744865417,17.23459625,36.43462372,2018.0
5.81083107,6.822791576,6.108965397,6.247529507,18.74258804,36.57331467,1968.0
3.595405102,4.555964947,3.976593494,4.042654514,12.12796402,36.61650848,1821.0
5.22489357,6.074692249,5.591415405,5.630333424,16.89100075,36.71661758,1648.0
5.134018421,6.238603592,5.654707432,5.675776005,17.02732849,36.80358505,1707.0
3.709287643,4.425017357,4.050726891,4.061677456,12.18503189,36.93848801,1831.0
3.803293705,4.69004488,4.286074162,4.259804249,12.77941322,37.03147888,1693.0
5.307457924,6.452018261,5.831378937,5.863618374,17.59085464,37.11896896,1829.0
5.424721241,6.340135098,6.167213917,5.977356434,17.93206978,37.19117737,1739.0
3.566215277,4.699661732,4.191417694,4.152431488,12.45729446,37.29499054,1984.0
3.658366442,4.545097351,3.873171806,4.02554512,12.07663536,37.5246315,1855.0
3.460960865,4.539746761,3.892935038,3.964547396,11.89364243,37.66638184,1872.0
3.453026772,4.615559101,4.054057598,4.040881634,12.12264442,37.70856094,1904.0
3.558245182,4.564230919,4.096498013,4.072991848,12.21897507,37.69739532,1857.0
3.458723068,4.838080883,4.117455482,4.138086796,12.41425991,37.79595947,1941.0
4.055738926,5.37679863,4.486773491,4.639770031,13.91931057,37.93422318,1795.0
5.185364723,6.58535862,5.803480625,5.858067989,17.57420349,38.0266571,1792.0
5.401189327,6.432712078,5.631307602,5.821736813,17.46520996,38.11416245,1965.0
3.567324638,4.653176785,3.827671051,4.016057491,12.048172,38.18136215,1798.0
5.210142136,6.320392609,5.7140522,5.748195648,17.24458694,38.27576828,1842.0
5.394158363,6.207434177,5.819259644,5.806951046,17.42085266,38.36896133,1768.0
5.144583225,6.691486835,5.805386066,5.880485535,17.6414566,38.47407913,1792.0
3.569565773,4.450324535,3.946717501,3.988868952,11.96660709,38.58217239,1830.0
5.202105999,6.353987217,6.005851746,5.853981495,17.56194496,38.65093231,1792.0
5.425491333,6.34028101,5.566820145,5.77753067,17.33259201,38.74819565,1827.0
5.223426819,6.714380264,4.330250263,5.422685623,16.26805687,38.86116409,1919.0
3.701183558,4.760678768,3.887893438,4.116585255,12.34975624,38.96648407,1905.0
5.102114201,6.599661827,5.360786915,5.687520981,17.06256294,39.05606079,1837.0
5.448692322,6.618498802,5.630378246,5.899189472,17.69756889,39.13294983,1961.0
4.597818851,4.498361111,3.882840872,4.326340199,12.97902107,39.197258,1795.0
3.773880482,4.508087635,3.830129147,4.037365437,12.11209679,39.3122406,1807.0
3.86127162,5.307215691,4.383432865,4.517306805,13.55191994,39.39483261,1904.0
4.314537048,5.375999451,4.715939999,4.802158833,14.40647697,39.50146484,1776.0
4.031807899,4.923342228,4.001234531,4.318794727,12.95638466,39.58450699,1862.0
3.675194502,4.704453468,4.224297523,4.201315403,12.60394573,39.67004776,1887.0
4.281775475,5.351613998,4.88714695,4.840178967,14.52053642,39.74683762,1777.0
4.216380596,5.571792126,4.740633011,4.842935085,14.52880573,39.86004257,1853.0
4.50845623,5.462202072,4.617703915,4.862787247,14.58836174,39.97410202,1986.0
3.550238132,4.475078583,3.886999607,3.97077179,11.91231537,40.03348541,1842.0
3.642120838,4.560034752,4.109281063,4.103812695,12.31143761,40.12700653,2062.0
4.380238533,5.604197979,4.67116642,4.885200977,14.65560246,40.20923233,1819.0
4.773219585,5.434726238,4.735455036,4.981133938,14.94340134,40.30751038,1802.0
3.746351957,4.533530712,4.103005886,4.127629757,12.38288879,40.39747238,1933.0
3.54923749,4.541553497,4.160334587,4.083708286,12.25112534,40.49837112,1879.0
3.613583326,4.725215912,3.799120903,4.045973301,12.13792038,40.57814789,1908.0
4.610711575,5.579894066,4.737828255,4.976144314,14.92843342,40.64632034,1860.0
4.612131119,5.584130764,5.059448242,5.085237026,15.2557106,40.73971176,1721.0
3.668422937,4.539011002,4.041313648,4.082915783,12.24874687,40.81731796,1817.0
3.752816439,4.38957119,3.843130112,3.995172501,11.9855175,40.96190643,1866.0
3.412801504,4.624584198,4.034768581,4.024051666,12.072155,40.99454498,1864.0
3.47278285,4.653759956,3.806260586,3.97760129,11.93280411,41.17208862,1872.0
3.445335388,4.410710335,3.909327745,3.921791077,11.76537323,41.15167999,1883.0
4.6554842,5.51900053,4.611063957,4.928515911,14.78554821,41.73826599,1846.0
4.405200481,5.348755836,4.973293304,4.90908289,14.72724915,41.75983429,2023.0
4.36450243,5.333923817,4.71835804,4.805594921,14.41678429,41.84006119,1739.0
3.551928997,4.562509537,3.87123394,3.995224237,11.98567295,41.92387009,1737.0
4.490110874,5.765228271,5.124950886,5.126762867,15.38028908,42.04479599,1873.0
3.717983007,4.570689678,3.921935081,4.070202351,12.21060753,42.05923462,1810.0
5.27881813,6.544081211,5.485061646,5.769320011,17.30796051,42.13233566,1634.0
6.092977524,6.496694565,5.853673935,6.147781849,18.44334602,42.2044487,1858.0
5.528421879,6.606789589,5.380847454,5.838686466,17.51605988,42.29172134,1927.0
5.635182381,6.589977264,5.845197678,6.023452759,18.07035828,42.38438034,1923.0
6.020217419,6.577048302,5.873013973,6.156759739,18.47027969,42.51822281,1751.0
3.521660805,4.513433933,3.84134841,3.958814621,11.87644386,42.49904633,2045.0
3.633360863,4.415211678,3.875280142,3.97461772,11.92385292,42.55489731,1829.0
3.954293251,4.868933678,4.610749245,4.477992058,13.43397617,42.69632721,1765.0
5.491064072,6.813527584,6.046674728,6.117088795,18.35126686,42.73962402,1913.0
5.785934448,6.389173031,6.308696747,6.161268234,18.4838047,42.81319427,1565.0
3.521035433,4.404517174,3.8887012,3.938084602,11.81425381,42.88010406,1802.0
3.450792313,4.550743103,4.006783485,4.002772808,12.0083189,42.92729187,1920.0
4.031905174,5.066046238,4.330619335,4.476190567,13.4285717,43.11485672,1726.0
5.383899689,6.461827755,6.08863306,5.978120327,17.9343605,43.10011292,1780.0
5.799626827,6.318707466,6.086137772,6.068157196,18.20447159,43.24377441,1698.0
3.445738554,4.385509491,3.903083801,3.911443949,11.73433208,43.23279953,1766.0
5.756025314,6.141300678,5.588528633,5.828618526,17.4858551,43.42146301,2026.0
5.549183369,6.696694374,5.675911903,5.973930359,17.92179108,43.53162003,1761.0
3.824012518,4.439116478,4.113500595,4.125543118,12.37662983,43.48662567,1797.0
5.31227684,6.808644295,6.063418865,6.061446667,18.18433952,43.60702133,1933.0
5.248688221,6.661083221,5.696726799,5.868833065,17.60649872,43.6198349,1845.0
4.302743435,5.497612476,4.619552612,4.806636333,14.41990852,43.68122101,1824.0
3.455880404,4.457366467,4.059600353,3.990948915,11.97284698,45.12910843,1927.0
5.215172291,5.98793745,5.417771816,5.54029417,16.62088203,45.07431793,2029.0
5.501680851,6.189705849,5.906443119,5.865943432,17.59782982,45.04397202,1984.0
4.095551014,5.174438477,4.669879913,4.646623135,13.93986893,45.10931396,1605.0
5.584116459,6.738481522,5.734505177,6.019033909,18.0571022,44.98797226,1641.0
5.648463726,6.3244524,5.882278919,5.951731205,17.85519409,44.85977173,1727.0
5.875573635,7.006368637,5.798100948,6.226681232,18.68004417,44.9066391,1844.0
3.545948029,4.462874889,3.855903149,3.954909086,11.86472702,44.74608231,1838.0
4.282099247,5.220296383,4.363933563,4.62210989,13.86632919,44.73602295,1937.0
5.803770065,6.504538059,5.678731441,5.995679855,17.98703957,44.7206192,1761.0
7.065659523,6.966333389,6.478243351,6.836745739,20.51023674,44.74965286,2114.0
3.479783535,4.479932785,3.685707331,3.881808043,11.64542389,44.73202896,1904.0
3.469996452,4.245018482,3.784727573,3.833247423,11.49974251,44.82783127,1808.0
3.552638054,4.350477219,3.768318892,3.890478134,11.6714344,44.77784348,1873.0
5.374865532,6.669428825,5.439795971,5.828030109,17.48409081,44.85031128,1796.0
5.401726246,6.701114178,5.781778336,5.961539745,17.88461876,44.85741043,1584.0
3.56213522,4.556147099,3.641563416,3.919948578,11.75984573,44.9080162,1840.0
3.873055458,5.369870186,4.380551338,4.541159153,13.62347698,44.94446182,1913.0
5.726288319,6.547273636,6.063542366,6.112368107,18.3371048,44.95788574,1697.0
5.612843037,6.395410538,5.530795574,5.846349716,17.53904915,45.01958084,1954.0
4.537635326,5.848222256,5.082631588,5.156162739,15.46848869,45.10287476,1648.0
5.537015915,6.458762169,5.782728672,5.926168919,17.77850723,45.14292145,1739.0
5.641097069,6.391913414,5.674002647,5.902337551,17.70701218,45.15800476,1787.0
4.521728039,5.151371479,4.716442108,4.796514034,14.38954163,45.23336411,1963.0
3.530930519,4.523272038,3.741514444,3.931905746,11.79571724,45.26086426,1911.0
3.200301647,4.178686142,4.044647694,3.807878494,11.42363548,46.1231575,1891.0
3.451370716,4.204061508,3.692509651,3.782647371,11.34794235,46.07928848,1866.0
4.154131889,5.043575764,4.650249004,4.61598587,13.84795761,46.13299179,1758.0
4.464039803,5.311948776,4.56785202,4.781280041,14.3438406,46.18627548,2035.0
3.506765842,4.268864155,3.613922119,3.796517372,11.38955212,46.25440216,1799.0
4.389772415,5.494958878,4.860459805,4.915063858,14.74519157,46.32176971,1839.0
4.405959606,5.208348751,4.640255451,4.751521587,14.25456429,46.37326813,1841.0
4.294510841,5.358622551,4.645503044,4.766211987,14.29863644,46.39212799,1806.0
3.298885584,4.049648762,3.37204814,3.573527575,10.72058296,46.4509697,1856.0
3.942398071,6.016615868,4.568084717,4.842366219,14.52709866,46.50823593,1981.0
4.581095695,5.328538895,4.59401989,4.834551334,14.50365448,46.58027649,1675.0
3.646666288,4.853341579,4.144035339,4.214681149,12.64404297,46.60230637,1750.0
3.492205381,4.113014698,3.639267206,3.74816227,11.24448681,46.64151382,1855.0
4.347280502,5.403974056,4.932988644,4.894748211,14.68424416,46.69391251,1890.0
4.445845604,5.450606823,4.769621849,4.888691425,14.6660738,46.74432373,1949.0
3.813676357,4.722978115,4.111896992,4.216184139,12.64855194,46.81172943,1895.0
3.171070814,4.23635149,3.808365822,3.738595963,11.21578789,46.89771271,1937.0
3.421522379,4.583465099,3.932388783,3.979125261,11.93737602,46.92526627,1871.0
4.781350136,6.379554749,5.644412518,5.601772308,16.80531693,46.93814468,2031.0
5.045436859,6.200680733,5.75210619,5.666074753,16.99822426,47.00842667,2046.0
5.0580163,6.26449585,5.635645866,5.652719021,16.95815659,47.0744133,1726.0
3.975744963,4.894011974,4.565585613,4.478447437,13.43534279,47.08954239,1807.0
5.51626873,6.333343983,5.549664974,5.799759388,17.39927864,47.13251877,1940.0
5.320883274,6.600486755,5.543426991,5.82159853,17.46479607,47.17485046,1700.0
3.509166956,4.435089588,3.751155615,3.898470879,11.69541264,47.21530914,1856.0
5.09868145,6.043325424,5.342754364,5.494920254,16.48476028,47.27487564,1971.0
5.484518051,6.071397305,5.426774502,5.660896778,16.98269081,47.34494019,2026.0
5.562155724,6.450758934,5.426348686,5.813087463,17.43926239,47.38257599,1606.0
3.436378002,4.209017754,3.77898407,3.80812645,11.42437935,47.45248032,1815.0
5.145535946,6.083220959,5.111319065,5.44669199,16.34007645,47.54317856,1813.0
5.082713127,6.369216919,5.738214493,5.730047703,17.19014359,47.59073639,1808.0
5.11157608,6.70138216,6.006825447,5.939927578,17.81978226,47.62065506,1744.0
3.473379612,4.279686928,3.826548815,3.859871864,11.57961559,47.99720001,1839.0
3.453932762,4.384520054,3.977844477,3.938765764,11.81629753,48.11646271,1904.0
3.924774408,4.809677124,4.209073544,4.314508438,12.94352531,48.17351913,1905.0
4.664689541,6.391389847,5.691162109,5.58241415,16.74724197,48.3053627,1773.0
4.964936256,6.474658966,5.717471123,5.719022274,17.15706635,48.37301636,1845.0
3.23197341,4.467880249,3.827685118,3.842513084,11.52753925,48.23076248,1954.0
5.038639069,5.811928272,5.358531952,5.40303278,16.20909882,48.2191658,2032.0
4.899523735,6.291696548,5.430401325,5.540540695,16.62162209,48.22955704,1776.0
5.412569523,6.412085056,5.571683407,5.798779011,17.39633751,48.25357819,1675.0
3.404027462,4.215869427,3.783085346,3.800994158,11.40298271,48.30779648,1799.0
5.469598293,6.125743866,5.352893353,5.649412155,16.94823647,48.31904602,1936.0
5.087064266,6.397654533,5.738547325,5.741088867,17.2232666,48.35483551,1999.0
3.473317623,4.075066566,3.840246439,3.796210289,11.38863087,48.39017868,2045.0
3.748352289,4.860185146,4.178747654,4.262428284,12.78728485,48.48992538,1680.0
4.930441856,6.011518478,5.73183918,5.557933331,16.67379951,48.48389816,1743.0
5.324905872,6.78758955,5.587193012,5.899896145,17.69968796,48.51442719,1764.0
3.079214096,4.297124863,3.809155941,3.728498459,11.18549538,48.56382751,1840.0
3.262931347,4.181126118,3.707995892,3.717351198,11.15205383,48.60466766,1889.0
3.593096495,4.592269897,3.857176542,4.014181137,12.04254341,48.67950439,1823.0
4.159649849,5.325565338,4.479150295,4.654788494,13.96436501,48.69851685,1782.0
3.57179594,4.358483315,3.85314846,3.927809477,11.78342819,48.78464508,1816.0
3.192342758,4.512403965,3.884117365,3.862954855,11.58886433,48.79246521,1859.0
3.404895782,4.262066841,3.583420515,3.750127792,11.25038338,48.8547554,1950.0
4.123366356,5.182274818,4.459658623,4.588433266,13.7652998,48.91589737,1758.0
4.368475437,4.989629745,4.609730721,4.655945301,13.96783543,48.95941925,1786.0
4.094369411,5.205368996,4.800490856,4.70007658,14.10022926,49.00628662,1747.0
3.290275812,4.139717102,3.784382582,3.738125086,11.2143755,49.06083679,1964.0
